key,context_level,chain_id_scafold,chain_id_binder,num_subunits,binder_type,size,recovery_rate,sequence_similarity,maximum_recovery_rate,average_multiplicity,average_maximum_confidence,average_maximum_score
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,2,3,6,3,ligand,3,1.0,1.0,1.0,1.0,0.9974513053894043,0.9950785467429629
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,1,3,6,3,ligand,3,1.0,1.0,1.0,1.0,0.985255241394043,0.9734438502266105
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,0,3,6,3,ligand,3,0.0,0.0,0.0,1.0,0.9606912732124329,0.8906512534766082
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,2,3,0,3,rna,16,0.8125,0.8125,0.875,1.1875,0.9524203538894653,0.9049157547936786
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,1,3,0,3,rna,16,0.8125,0.8125,0.8125,1.125,0.9620946049690247,0.9191905267172167
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,0,3,0,3,rna,16,0.125,0.125,0.25,1.25,0.903537929058075,0.8003472051679081
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,2,3,4,3,ligand,2,1.0,1.0,1.0,1.0,0.999904453754425,0.9983884466300401
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,1,3,4,3,ligand,2,1.0,1.0,1.0,1.0,0.99912428855896,0.9983884466300401
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,0,3,4,3,ligand,2,0.0,0.0,0.0,1.0,0.988898754119873,0.9720443411078827
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,2,3,5,3,ligand,3,1.0,1.0,1.0,1.0,0.9762279391288757,0.9350386575837207
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,1,3,5,3,ligand,3,1.0,1.0,1.0,1.3333333730697632,0.9082574844360352,0.8016452036022613
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,0,3,5,3,ligand,3,0.3333333432674408,0.3333333333333333,0.3333333432674408,1.3333333730697632,0.9031029343605042,0.8229604546961556
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,2,3,7,3,rna,20,0.949999988079071,0.95,1.0,1.2000000476837158,0.9616329073905945,0.910625055172356
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,1,3,7,3,rna,20,0.75,0.75,0.8500000238418579,1.2000000476837158,0.9400653839111328,0.870443075735029
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,0,3,7,3,rna,20,0.30000001192092896,0.3,0.3499999940395355,1.25,0.9254146814346313,0.8474235721925887
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,2,3,2,3,ligand,2,1.0,1.0,1.0,1.0,0.9999433159828186,0.9979708846327042
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,1,3,2,3,ligand,2,1.0,1.0,1.0,1.0,0.9993263483047485,0.9979708846327042
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,0,3,2,3,ligand,2,0.0,0.0,0.0,1.0,0.9498330354690552,0.893089181276103
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,2,7,3,3,rna,16,0.875,0.6875,0.875,1.125,0.957207202911377,0.9041300479210397
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,1,7,3,3,rna,16,0.6875,0.5625,0.75,1.1875,0.9332571625709534,0.8540137273330356
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,0,7,3,3,rna,16,0.3125,0.25,0.3125,1.0625,0.9581395387649536,0.9147298556506704
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,2,7,0,3,rna,5,0.4000000059604645,0.4,0.4000000059604645,1.600000023841858,0.8696497082710266,0.7557896051684094
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,1,7,0,3,rna,5,0.4000000059604645,0.4,0.4000000059604645,1.2000000476837158,0.8869379162788391,0.8068995268557348
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,0,7,0,3,rna,5,0.20000000298023224,0.0,0.20000000298023224,1.0,0.9864662885665894,0.9591745151506206
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,2,7,4,3,ligand,2,1.0,1.0,1.0,1.0,0.9738732576370239,0.9447762798058759
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,1,7,4,3,ligand,2,0.5,0.5,0.5,1.0,0.9637662172317505,0.905945968482012
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,0,7,4,3,ligand,2,0.5,0.5,0.5,1.0,0.9551817774772644,0.9094403273465685
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,2,7,5,3,ligand,3,0.3333333432674408,0.3333333333333333,0.3333333432674408,1.0,0.9578759074211121,0.9179210848449305
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,1,7,5,3,ligand,3,0.3333333432674408,0.3333333333333333,0.3333333432674408,1.0,0.9501978754997253,0.9019856583363798
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6S.pdb,0,7,5,3,ligand,3,0.3333333432674408,0.0,0.3333333432674408,1.3333333730697632,0.9226678013801575,0.8393439222942397
